trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-82.33951943568042,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-64.01157867371985,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-176.3052248296536,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-83.78421861073741,"{0: 14, 1: 4, 2: 0, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-119.38469503846764,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,13,-102.693978532992,"{0: 5, 1: 4, 2: 1, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-112.57254826952571,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-53.51209570463236,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-25.182991088467947,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-11.289561574352298,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-135.8709279559351,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,0,-144.8583823478213,"{0: 26, 1: 2, 2: 4, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-17.07021434444266,"{0: 26, 1: 0, 2: 3, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-61.31196200018477,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-48.12123539920741,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,1,-15.31884698983235,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,1,-58.27809990825024,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,13,10.918774554702175,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,33.659798483182136,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-44.17009388705066,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-61.9340343377604,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",30,17,20.616419980667175,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,-70.7709735569716,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",30,12,26.142921844373717,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,-38.03588136934012,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,0.8033757713846807,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,16,-12.395074033620052,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,-48.94925564555476,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,3.5062115363708943,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,5.016448338214359,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
