trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-91.36243174139156,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-114.47392963635845,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,0,-241.01086514629847,"{0: 21, 1: 2, 2: 7, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-195.40521807625075,"{0: 18, 1: 2, 2: 5, 3: 2, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.15190525424573,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.69975112395014,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-96.77534169854407,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-169.73846399374565,"{0: 19, 1: 1, 2: 5, 3: 3, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-149.1546829238832,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.1301714504738,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.60524307598875,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-181.66454956403498,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-77.98406424116382,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-191.8898234783693,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.63925564983103,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-100.55665743183464,"{0: 21, 1: 0, 2: 7, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,5,-115.93405283798013,"{0: 8, 1: 1, 2: 2, 3: 3, 4: 1}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-68.50235638276078,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-124.01362662769482,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-89.49588265855914,"{0: 20, 1: 1, 2: 7, 3: 2, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-72.30970981024528,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-271.6235318261707,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 5}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-274.28549986581413,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 5}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-221.55351378931147,"{0: 17, 1: 0, 2: 8, 3: 2, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-183.27434877730747,"{0: 13, 1: 0, 2: 8, 3: 2, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-105.0455512815762,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-196.0695855836406,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-85.24454517794999,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-162.24259593102397,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-116.592937624193,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
