trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 1.0}",25,0,-87.05517351738705,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
2,False,"{'a': 0.2, 'e': 0.9900498337491681}",30,0,-176.67204256045008,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
3,False,"{'a': 0.2, 'e': 0.9801986733067554}",25,0,-250.36214205327315,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 5}",0
4,False,"{'a': 0.2, 'e': 0.9704455335485082}",30,0,-81.96754079864623,"{0: 21, 1: 2, 2: 5, 3: 2, 4: 0}",0
5,False,"{'a': 0.2, 'e': 0.9607894391523232}",30,0,-167.10013585650688,"{0: 15, 1: 8, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.2, 'e': 0.9512294245007139}",20,0,-162.4286787384703,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
7,False,"{'a': 0.2, 'e': 0.9417645335842487}",25,0,-202.63594525023834,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
8,False,"{'a': 0.2, 'e': 0.9323938199059482}",25,0,-172.36129505603355,"{0: 11, 1: 1, 2: 10, 3: 2, 4: 1}",0
9,False,"{'a': 0.2, 'e': 0.9231163463866358}",20,0,-145.4037002505337,"{0: 8, 1: 4, 2: 4, 3: 3, 4: 1}",0
10,False,"{'a': 0.2, 'e': 0.9139311852712282}",20,13,-10.174041493235993,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.2, 'e': 0.9048374180359595}",20,0,-160.17730498796175,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
12,False,"{'a': 0.2, 'e': 0.8958341352965282}",25,0,-144.80817178164008,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
13,False,"{'a': 0.2, 'e': 0.8869204367171575}",35,17,-72.30710291062134,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 1}",1
14,False,"{'a': 0.2, 'e': 0.8780954309205614}",30,0,-123.65875206591853,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
15,False,"{'a': 0.2, 'e': 0.8693582353988057}",25,0,-160.1503951906011,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
16,False,"{'a': 0.2, 'e': 0.8607079764250578}",20,9,-16.99539286101508,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
17,False,"{'a': 0.2, 'e': 0.8521437889662113}",20,0,-74.41584125503428,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.2, 'e': 0.8436648165963837}",20,0,-77.33853470891387,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
