trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 1.0}",25,15,-61.04560291174243,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 1}",1
2,False,"{'a': 0.2, 'e': 0.9950124791926824}",35,0,-208.01631414995694,"{0: 18, 1: 6, 2: 6, 3: 3, 4: 2}",0
3,False,"{'a': 0.2, 'e': 0.9900498337491681}",20,0,-65.08806083854766,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.2, 'e': 0.9851119396030628}",30,0,-209.46468950381018,"{0: 13, 1: 2, 2: 13, 3: 0, 4: 2}",0
5,False,"{'a': 0.2, 'e': 0.9801986733067554}",25,0,-180.47703334433518,"{0: 13, 1: 2, 2: 5, 3: 3, 4: 2}",0
6,False,"{'a': 0.2, 'e': 0.9753099120283326}",20,0,-69.9505089823588,"{0: 14, 1: 0, 2: 3, 3: 3, 4: 0}",0
7,False,"{'a': 0.2, 'e': 0.9704455335485082}",30,0,-128.68733913157325,"{0: 19, 1: 1, 2: 7, 3: 2, 4: 1}",0
8,False,"{'a': 0.2, 'e': 0.9656054162575665}",20,0,-129.8171693593226,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.2, 'e': 0.9607894391523232}",30,0,-134.21426320901563,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.2, 'e': 0.9559974818331}",20,0,-113.59194883730046,"{0: 10, 1: 2, 2: 5, 3: 3, 4: 0}",0
11,False,"{'a': 0.2, 'e': 0.9512294245007139}",20,0,-107.64700578138539,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.2, 'e': 0.9464851479534838}",25,17,0.8351876244239305,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.2, 'e': 0.9417645335842487}",25,0,-136.81269193683562,"{0: 16, 1: 3, 2: 2, 3: 2, 4: 2}",0
14,False,"{'a': 0.2, 'e': 0.9370674633774034}",20,11,-29.419078911876756,"{0: 5, 1: 2, 2: 1, 3: 1, 4: 0}",1
15,False,"{'a': 0.2, 'e': 0.9323938199059482}",20,0,-106.2011270610446,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.2, 'e': 0.9277434863285529}",25,0,-160.34466946168845,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
17,False,"{'a': 0.2, 'e': 0.9231163463866358}",30,0,-230.14518168223503,"{0: 15, 1: 4, 2: 7, 3: 0, 4: 4}",0
18,False,"{'a': 0.2, 'e': 0.9185122844014573}",25,18,-12.872491502042049,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.2, 'e': 0.9139311852712282}",20,0,-66.6522298815865,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
20,False,"{'a': 0.2, 'e': 0.9093729344682315}",20,0,-102.44653891300531,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
21,False,"{'a': 0.2, 'e': 0.9048374180359595}",20,0,-48.5590709763177,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
22,False,"{'a': 0.2, 'e': 0.9003245225862656}",20,0,-107.32312062490404,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
23,False,"{'a': 0.2, 'e': 0.8958341352965282}",20,0,-100.48343903027943,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
24,False,"{'a': 0.2, 'e': 0.8913661439068313}",20,0,-135.49767259644676,"{0: 8, 1: 5, 2: 4, 3: 2, 4: 1}",0
25,False,"{'a': 0.2, 'e': 0.8869204367171575}",20,0,-88.72044124165873,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
26,False,"{'a': 0.2, 'e': 0.8824969025845953}",20,0,-100.7684659531217,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
27,False,"{'a': 0.2, 'e': 0.8780954309205614}",25,0,-124.69203769159665,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
28,False,"{'a': 0.2, 'e': 0.8737159116880344}",25,13,-28.210929613793002,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
29,False,"{'a': 0.2, 'e': 0.8693582353988057}",30,15,4.4335571605584185,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.2, 'e': 0.8650222931107414}",35,0,-204.76498154134467,"{0: 23, 1: 2, 2: 4, 3: 3, 4: 3}",0
